gid,img_name,fault_type,fault_name,label,early_conf_mean,early_iou_mean,conf_mean,iou_mean,late_conf_mean,late_iou_mean,conf_delay,iou_delay
0,2008_007858.jpg,0,correct,correct,0.23944856822490693,0.46016396226774703,0.6530665683746338,0.8354450120360386,0.8382412314414978,0.9429973258165237,0.06,0.06
2,2009_002182.jpg,0,correct,correct,0.318826761841774,0.4809620329191249,0.5223553603887559,0.7685084557910821,0.7638018131256104,0.9310976917037342,0.04,0.0
1,2009_002182.jpg,0,correct,correct,0.26569693386554716,0.5957030215990281,0.5752653175592423,0.8460630711424273,0.7522765457630157,0.9490096131340741,0.02,0.02
4,2010_004997.jpg,0,correct,correct,0.567069661617279,0.8046351821431635,0.7409087669849396,0.9044082370777689,0.8877456426620484,0.9772495625524172,0.02,0.02
5,2010_002180.jpg,0,correct,correct,0.2677050858736038,0.6111389431278857,0.41311889469623564,0.7119730124470063,0.7355871856212616,0.9662180067176271,0.02,0.02
7,2009_004005.jpg,0,correct,correct,0.4747509241104126,0.8111389046847652,0.7534565389156341,0.9046885517361949,0.9441529929637908,0.939789091784697,0.04,0.02
8,2009_004279.jpg,0,correct,correct,0.20712365806102753,0.43358828029271346,0.5038320398330689,0.7705888553675351,0.7869157731533051,0.9779694675508972,0.04,0.04
9,2009_004279.jpg,0,correct,correct,0.2742533802986145,0.5040676849069943,0.35712065279483796,0.607048307904595,0.45005362331867216,0.7558438029939305,0.04,0.04
10,2008_007237.jpg,0,correct,correct,0.27272656857967376,0.5066377838260315,0.5248812335729599,0.7575600049793825,0.7065365016460419,0.8929724073373919,0.04,0.04
11,2008_007237.jpg,0,correct,correct,0.029182615876197814,0.08073506726740068,0.2595944893360138,0.42326164144593403,0.6214067935943604,0.8769736478300738,0.22,0.06
12,2010_001706.jpg,0,correct,correct,0.025169175863265992,0.09374996580209963,0.3518056291341782,0.6044526830099025,0.7046179831027984,0.9858228546459002,0.2,0.04
14,2010_000337.jpg,0,correct,correct,0.6568905293941498,0.8625307597364363,0.6794606047868729,0.8984188574310603,0.5922937959432601,0.9635537833064337,0.0,0.0
15,2010_000337.jpg,0,correct,correct,0.6301459580659866,0.8745974733441318,0.7394865685701371,0.9176045764411773,0.889319384098053,0.9571013226387729,0.0,0.0
16,2010_000337.jpg,0,correct,correct,0.46874345242977145,0.7325459286611659,0.7112226384878159,0.8491740327201207,0.8729933679103852,0.8948077391244377,0.04,0.02
13,2010_000337.jpg,2,loc_fault,fault,0.0,0.0,0.16301946759223937,0.24940884870427882,0.4411511212587357,0.6372281733273341,0.2,0.2
18,2008_004430.jpg,0,correct,correct,0.22122818529605864,0.4720324943181843,0.4732667565345764,0.7739428547596687,0.7407514989376068,0.9760923068635334,0.02,0.02
19,2010_002393.jpg,0,correct,correct,0.5517519474029541,0.7993707196102291,0.7463444602489472,0.91204909499911,0.8714219927787781,0.9524919418017447,0.02,0.02
21,2008_007698.jpg,0,correct,correct,0.5780637502670288,0.7815295867101864,0.7221127009391785,0.8683424945077703,0.755573695898056,0.9031348307655837,0.02,0.02
22,2008_007698.jpg,0,correct,correct,0.48192891478538513,0.7546105681112069,0.6417833387851715,0.8557051533162036,0.7208118796348572,0.884157579524631,0.06,0.02
24,2010_002857.jpg,0,correct,correct,0.0,0.0,0.2213363516330719,0.41114954670193105,0.4965308517217636,0.8570419291462921,0.36,0.36
23,2010_002857.jpg,0,correct,correct,0.0,0.0,0.12260530292987823,0.21694608072686086,0.45747143030166626,0.7606200513543157,0.38,0.38
28,2011_002511.jpg,0,correct,correct,0.5024974524974823,0.8995324136570881,0.6533067548274993,0.9329729173288333,0.759865814447403,0.9357222179597388,0.02,0.0
26,2011_002511.jpg,0,correct,correct,0.4543866515159607,0.8086880793203516,0.6932099777460098,0.9262392241761477,0.8966886878013611,0.972377837139339,0.02,0.02
27,2011_002511.jpg,2,loc_fault,fault,0.0,0.0,0.04781266033649444,0.07250321336177108,0.12651250660419464,0.2063251805660725,0.36,0.36
33,2011_001215.jpg,0,correct,correct,0.57339226603508,0.8543291013724851,0.6495451301336288,0.8772635325947696,0.6869380533695221,0.9074426021894062,0.0,0.0
32,2011_001215.jpg,0,correct,correct,0.5570522904396057,0.7994605838190424,0.6013977015018463,0.8328441520304456,0.6162021338939667,0.8447814704163698,0.0,0.0
31,2011_001215.jpg,0,correct,correct,0.38027854859828947,0.6418474131763509,0.6242693620920181,0.8672616636923907,0.8151211619377137,0.9123516760763877,0.04,0.02
34,2011_001215.jpg,0,correct,correct,0.1963940978050232,0.3971244623917717,0.536994823217392,0.7188834895936074,0.8581410586833954,0.9049292776521204,0.08,0.04
35,2009_003225.jpg,0,correct,correct,0.13357801139354705,0.2476845180115433,0.4027948915958405,0.6397584170450721,0.7364311575889587,0.9414103747361124,0.02,0.02
36,2008_000273.jpg,0,correct,correct,0.03291181921958923,0.07932041049787933,0.2782960081100464,0.3547681416955075,0.7894930422306061,0.858237180786567,0.58,0.02
38,2008_000273.jpg,0,correct,correct,0.0,0.0,0.1590565836429596,0.21303116947713194,0.5155504703521728,0.639133330922522,0.5,0.5
37,2008_000273.jpg,0,correct,correct,0.0,0.0,0.08750379085540771,0.153797643208499,0.2204921931028366,0.45127860733622355,0.52,0.52
41,2008_002917.jpg,0,correct,correct,0.5610575526952744,0.8019444562756085,0.6480616372823715,0.8685982165991439,0.7136693596839905,0.8946069544171225,0.0,0.0
40,2008_002917.jpg,0,correct,correct,0.3627172976732254,0.6730170280656692,0.5121608120203018,0.7966157297868142,0.7339569091796875,0.9231345859546927,0.02,0.0
42,2008_002917.jpg,0,correct,correct,0.16044073700904846,0.31478089351996275,0.5390742564201355,0.7660484433502412,0.8108854949474334,0.9699079260107842,0.06,0.02
43,2009_003825.jpg,0,correct,correct,0.40089663565158845,0.7303743264134022,0.6864973044395447,0.9088263948946446,0.8201647639274597,0.9682103590153286,0.1,0.04
44,2009_003825.jpg,0,correct,correct,0.20713310241699218,0.41647994313975234,0.5829834181070328,0.7807124673481894,0.8603131651878357,0.917097352076806,0.08,0.06
46,2009_001206.jpg,0,correct,correct,0.3617192953824997,0.7089467419432293,0.5001745051145554,0.7732405877534282,0.4555373668670654,0.5433813154998356,0.02,0.02
45,2009_001206.jpg,0,correct,correct,0.0,0.0,0.12009086310863495,0.24872162949176205,0.36964865028858185,0.6741246414206404,0.66,0.66
49,2008_008058.jpg,0,correct,correct,0.2046089142560959,0.4821078740540667,0.463251913189888,0.762715551227595,0.8002450704574585,0.9651833711408735,0.04,0.02
51,2009_003775.jpg,0,correct,correct,0.3516809642314911,0.7093046331708057,0.595414007306099,0.863558548712539,0.8151609182357789,0.9452797947417999,0.02,0.02
52,2008_007252.jpg,0,correct,correct,0.18358332812786102,0.36373710472158227,0.46868854701519014,0.6564663203161443,0.7770490050315857,0.9360317467710167,0.04,0.02
53,2009_003815.jpg,1,class_fault,fault,0.0,0.0,0.2867432951927185,0.34551973351883014,0.8638385832309723,0.9514658321921793,0.66,0.52
54,2009_005075.jpg,0,correct,correct,0.33815241158008574,0.6710954140217775,0.5894089567661286,0.886225095277105,0.8337026298046112,0.9813202078554,0.1,0.04
59,2011_002966.jpg,0,correct,correct,0.5061410456895828,0.796245392260041,0.6191007721424103,0.9041939768761468,0.7335392475128174,0.9685234423732269,0.02,0.0
63,2011_002966.jpg,0,correct,correct,0.5111383855342865,0.8312957557892393,0.5681970912218094,0.8813428490522361,0.6440473139286041,0.9419609263399866,0.02,0.0
61,2011_002966.jpg,0,correct,correct,0.48364063501358034,0.7327985166518269,0.5689886039495469,0.7749739430074754,0.6505214512348175,0.7990840548867358,0.02,0.0
57,2011_002966.jpg,0,correct,correct,0.4386917412281036,0.8133724680399794,0.6973738884925842,0.9108788895743403,0.8945328414440155,0.9544874798415546,0.02,0.0
55,2011_002966.jpg,0,correct,correct,0.2732763528823853,0.5285806010537994,0.5215674471855164,0.7761636146902768,0.8289030849933624,0.9503453403958415,0.02,0.02
56,2011_002966.jpg,0,correct,correct,0.42319429814815523,0.7752957182588442,0.632017285823822,0.8773915507072438,0.8052130401134491,0.9001851797155357,0.06,0.02
64,2011_002966.jpg,0,correct,correct,0.3482515335083008,0.7664502341552433,0.6027143490314484,0.9095671421868364,0.8549917578697205,0.9659939461276087,0.06,0.02
60,2011_002966.jpg,0,correct,correct,0.4281408965587616,0.7097532189445426,0.5382023131847382,0.8275216525598864,0.6479813873767852,0.9269530092870004,0.06,0.02
62,2011_002966.jpg,0,correct,correct,0.07866607904434204,0.10192053968157037,0.2752786326408386,0.46065830112163725,0.6602258086204529,0.9363629067553335,0.14,0.08
